"MatchingRule","Record1Identifier","Record2Identifier","TotalSimilarity","IsMatch","[0] PlayerBirthdateComparator record1Value","[0] PlayerBirthdateComparator record2Value","[0] PlayerBirthdateComparator record1PreprocessedValue","[0] PlayerBirthdateComparator record2PreprocessedValue","[0] PlayerBirthdateComparator similarity","[0] PlayerBirthdateComparator postproccesedSimilarity"
"LinearCombinationMatchingRule","eafc_9484","fm_12906","0.0",,"2000-02-08T00:00","2006-04-22T00:00","2000-02-08T00:00","2006-04-22T00:00","0.0","0.0"
"LinearCombinationMatchingRule","eafc_8073","fm_1911","0.0",,"2001-04-02T00:00","1997-04-22T00:00","2001-04-02T00:00","1997-04-22T00:00","0.0","0.0"
"LinearCombinationMatchingRule","eafc_5908","fm_14016","0.0",,"1996-05-01T00:00","2003-09-28T00:00","1996-05-01T00:00","2003-09-28T00:00","0.0","0.0"
"LinearCombinationMatchingRule","eafc_5908","fm_13165","0.0",,"1996-05-01T00:00","2002-12-01T00:00","1996-05-01T00:00","2002-12-01T00:00","0.0","0.0"
"LinearCombinationMatchingRule","eafc_5908","fm_1276","1.0",,"1996-05-01T00:00","1996-03-11T00:00","1996-05-01T00:00","1996-03-11T00:00","1.0","1.0"
"LinearCombinationMatchingRule","eafc_4686","fm_10316","0.33333333333333337",,"1996-03-11T00:00","1998-03-10T00:00","1996-03-11T00:00","1998-03-10T00:00","0.33333333333333337","0.33333333333333337"
"LinearCombinationMatchingRule","eafc_4686","fm_12978","0.0",,"1996-03-11T00:00","2005-09-25T00:00","1996-03-11T00:00","2005-09-25T00:00","0.0","0.0"
"LinearCombinationMatchingRule","eafc_9484","fm_15172","0.0",,"2000-02-08T00:00","1996-12-01T00:00","2000-02-08T00:00","1996-12-01T00:00","0.0","0.0"
"LinearCombinationMatchingRule","eafc_10834","fm_8203","0.33333333333333337",,"2003-02-10T00:00","2005-04-27T00:00","2003-02-10T00:00","2005-04-27T00:00","0.33333333333333337","0.33333333333333337"
"LinearCombinationMatchingRule","eafc_5908","fm_2363","0.0",,"1996-05-01T00:00","1986-10-06T00:00","1996-05-01T00:00","1986-10-06T00:00","0.0","0.0"
"LinearCombinationMatchingRule","eafc_10834","fm_15525","0.0",,"2003-02-10T00:00","1999-04-05T00:00","2003-02-10T00:00","1999-04-05T00:00","0.0","0.0"
"LinearCombinationMatchingRule","eafc_8073","fm_15362","0.0",,"2001-04-02T00:00","1997-11-21T00:00","2001-04-02T00:00","1997-11-21T00:00","0.0","0.0"
